1.迷失在黑暗中
2.黑暗中的低語
3.自我的崩潰
4.黑暗中的折磨
5.無盡的迴圈
6.夢魘的降臨
7.破碎的初始
8.命運的對話
9.永恆的守護
11.突然的來訪
12.萬人迷的誕生
13.關係的揣測
14.霸凌
15.奇怪的記憶
16.曾經的夢
17.不對勁
18.遺忘的羈絆
19.朋友
20.分歧
21.無可避免的對峙
22.悔恨的獨白
23.重疊的夢境
24.隱藏的細節
25.故意的真相
26.無法忽視的證據
27.消失的夢魘
28.一年後的夢
29.突如其來的輪迴
30.微光的指引
31.數字之謎
32.久別的重逢
33.回溯的真相
34.暗藏危機的歡聚
35.偽造的死亡
36.鎖鏈與鑰匙
37.再見與發現
38.日記的啟示
39.日記的探討
40.艾利亞的歸來
41.全新的身份
42.妹妹的再臨
43.擁抱與變化
44.風波再起
45.揭開疑問
46.盟誓與永恆
番外1.在家裡的「兄妹日常」
番外2.在夜市的「意外約會」
番外3.月光下的晚安
番外4.操場邊的秘密戀人
番外5.艾利亞與謙的推理比賽，智商超人也招架不住的「情侶暴擊」
番外6.愛的反擊戰
番外7.情書風波與公開告白
番外8.夢的盡頭是光
番外9.在夢中重建的未來
番外10.你早就是我的英雄
番外11.夢
番外12.下一晚的悸動
番外13.陽翔的主動
番外14.夢中約會
番外15.見父母的討論
番外16.艾利亞見家長
番外17.新家的秘密
番外18.雙重稱呼
番外19.為你準備的驚喜
番外20.水晶的救贖
番外21.心有靈犀的夜晚
番外22.夢魘之力的秘密
番外23.名字與孤獨的過去
47.靈魂的過去與現在
48.陷入深淵
49.幕後的操控者
50.絕望的代價
51.壓迫與孤獨的回聲
52.暗夜中的夢境審判
53.雙重虛弱與漸行漸遠的信任
54.遲來的真相
55.失落之地的啟示
56.改變命運的按鈕
57.靈魂的交織
